transaction_id,date,customer_id,product_id,product_name,category,quantity,unit_price,region
T000001,2026-03-01,C085,P001,Wireless Mouse,Accessories,11,1499,East
T000002,2026-03-01,C191,P002,Mechanical Keyboard,Accessories,7,4499,West
T000003,2026-03-01,C250,P003,USB-C Cable,Accessories,17,499,North
T000004,2026-03-01,C004,P004,Laptop Stand,Accessories,5,1899,South
T000005,2026-03-01,C179,P005,Webcam,Electronics,6,3299,West
T000006,2026-03-01,C130,P006,Bluetooth Speaker,Electronics,9,2499,East
T000007,2026-03-01,C240,P007,Power Bank,Electronics,9,1799,Central
T000008,2026-03-01,C001,P008,Wireless Headphones,Audio,4,3999,North
T000009,2026-03-01,C077,P009,Smart Watch,Wearables,2,5999,South
T000010,2026-03-01,C108,P010,HDMI Cable,Accessories,14,899,Central
T000011,2026-03-01,C012,P011,USB Hub,Accessories,8,1299,East
T000012,2026-03-01,C090,P012,Laptop Backpack,Accessories,4,2299,North
T000013,2026-03-01,C167,P013,Phone Stand,Accessories,11,699,South
T000014,2026-03-01,C181,P014,Portable SSD,Storage,4,6499,West
T000015,2026-03-01,C101,P015,Wireless Charger,Electronics,11,1599,Central
T000016,2026-03-02,C021,P001,Wireless Mouse,Accessories,8,1499,East
T000017,2026-03-02,C278,P002,Mechanical Keyboard,Accessories,1,4499,West
T000018,2026-03-02,C167,P003,USB-C Cable,Accessories,11,499,North
T000019,2026-03-02,C137,P004,Laptop Stand,Accessories,5,1899,South
T000020,2026-03-02,C199,P005,Webcam,Electronics,7,3299,West
T000021,2026-03-02,C001,P006,Bluetooth Speaker,Electronics,7,2499,East
T000022,2026-03-02,C106,P007,Power Bank,Electronics,4,1799,Central
T000023,2026-03-02,C203,P008,Wireless Headphones,Audio,4,3999,North
T000024,2026-03-02,C201,P010,HDMI Cable,Accessories,9,899,Central
T000025,2026-03-02,C110,P011,USB Hub,Accessories,3,1299,East
T000026,2026-03-02,C063,P012,Laptop Backpack,Accessories,4,2299,North
T000027,2026-03-02,C069,P013,Phone Stand,Accessories,11,699,South
T000028,2026-03-02,C199,P014,Portable SSD,Storage,1,6499,West
T000029,2026-03-02,C299,P015,Wireless Charger,Electronics,7,1599,Central
T000030,2026-03-03,C107,P001,Wireless Mouse,Accessories,7,1499,East
T000031,2026-03-03,C030,P002,Mechanical Keyboard,Accessories,6,4499,West
T000032,2026-03-03,C085,P003,USB-C Cable,Accessories,15,499,North
T000033,2026-03-03,C157,P004,Laptop Stand,Accessories,5,1899,South
T000034,2026-03-03,C173,P005,Webcam,Electronics,3,3299,West
T000035,2026-03-03,C119,P006,Bluetooth Speaker,Electronics,7,2499,East
T000036,2026-03-03,C131,P007,Power Bank,Electronics,5,1799,Central
T000037,2026-03-03,C070,P008,Wireless Headphones,Audio,2,3999,North
T000038,2026-03-03,C071,P009,Smart Watch,Wearables,2,5999,South
T000039,2026-03-03,C266,P010,HDMI Cable,Accessories,14,899,Central
T000040,2026-03-03,C263,P011,USB Hub,Accessories,7,1299,East
T000041,2026-03-03,C127,P012,Laptop Backpack,Accessories,2,2299,North
T000042,2026-03-03,C227,P013,Phone Stand,Accessories,12,699,South
T000043,2026-03-03,C077,P014,Portable SSD,Storage,2,6499,West
T000044,2026-03-03,C039,P015,Wireless Charger,Electronics,4,1599,Central
T000045,2026-03-04,C111,P001,Wireless Mouse,Accessories,6,1499,East
T000046,2026-03-04,C055,P002,Mechanical Keyboard,Accessories,7,4499,West
T000047,2026-03-04,C222,P003,USB-C Cable,Accessories,8,499,North
T000048,2026-03-04,C249,P004,Laptop Stand,Accessories,5,1899,South
T000049,2026-03-04,C249,P005,Webcam,Electronics,6,3299,West
