product_id,date,stock_quantity,reorder_level
P001,2026-08-08,85,30
P001,2026-08-09,79,30
P001,2026-08-10,70,30
P001,2026-08-11,63,30
P001,2026-08-12,56,30
P001,2026-08-13,48,30
P001,2026-08-14,41,30
P001,2026-08-15,74,30
P001,2026-08-16,65,30
P001,2026-08-17,54,30
P001,2026-08-18,54,30
P001,2026-08-19,50,30
P001,2026-08-20,40,30
P001,2026-08-21,32,30
P001,2026-08-22,23,30
P001,2026-08-23,13,30
P001,2026-08-24,6,30
P001,2026-08-25,0,30
P001,2026-08-26,0,30
P001,2026-08-27,51,30
P001,2026-08-28,44,30
P001,2026-08-29,35,30
P001,2026-08-30,28,30
P001,2026-08-31,90,30
P001,2026-09-01,147,30
P001,2026-09-02,133,30
P001,2026-09-03,199,30
P001,2026-09-04,190,30
P001,2026-09-05,180,30
P001,2026-09-06,174,30
P002,2026-08-08,105,40
P002,2026-08-09,102,40
P002,2026-08-10,95,40
P002,2026-08-11,93,40
P002,2026-08-12,137,40
P002,2026-08-13,186,40
P002,2026-08-14,180,40
P002,2026-08-15,173,40
P002,2026-08-16,169,40
P002,2026-08-17,165,40
P002,2026-08-18,159,40
P002,2026-08-19,154,40
P002,2026-08-20,145,40
P002,2026-08-21,142,40
P002,2026-08-22,138,40
P002,2026-08-23,136,40
P002,2026-08-24,130,40
P002,2026-08-25,126,40
P002,2026-08-26,116,40
P002,2026-08-27,112,40
P002,2026-08-28,106,40
P002,2026-08-29,98,40
P002,2026-08-30,91,40
P002,2026-08-31,86,40
P002,2026-09-01,84,40
P002,2026-09-02,81,40
P002,2026-09-03,126,40
P002,2026-09-04,124,40
P002,2026-09-05,225,40
P002,2026-09-06,219,40
P003,2026-08-08,180,60
P003,2026-08-09,170,60
P003,2026-08-10,161,60
P003,2026-08-11,140,60
P003,2026-08-12,127,60
P003,2026-08-13,103,60
P003,2026-08-14,94,60
P003,2026-08-15,174,60
P003,2026-08-16,156,60
P003,2026-08-17,147,60
P003,2026-08-18,135,60
P003,2026-08-19,121,60
P003,2026-08-20,107,60
P003,2026-08-21,91,60
P003,2026-08-22,80,60
P003,2026-08-23,60,60
P003,2026-08-24,206,60
P003,2026-08-25,195,60
P003,2026-08-26,179,60
P003,2026-08-27,170,60
P003,2026-08-28,231,60
P003,2026-08-29,210,60
P003,2026-08-30,187,60
P003,2026-08-31,172,60
P003,2026-09-01,327,60
P003,2026-09-02,303,60
P003,2026-09-03,294,60
P003,2026-09-04,275,60
P003,2026-09-05,369,60
P003,2026-09-06,352,60
P004,2026-08-08,60,25
P004,2026-08-09,54,25
P004,2026-08-10,49,25
P004,2026-08-11,46,25
P004,2026-08-12,39,25
P004,2026-08-13,37,25
P004,2026-08-14,34,25
P004,2026-08-15,28,25
P004,2026-08-16,19,25
P004,2026-08-17,14,25
P004,2026-08-18,6,25
P004,2026-08-19,57,25
P004,2026-08-20,53,25
P004,2026-08-21,49,25
P004,2026-08-22,45,25
P004,2026-08-23,39,25
P004,2026-08-24,35,25
P004,2026-08-25,29,25
P004,2026-08-26,23,25
P004,2026-08-27,23,25
P004,2026-08-28,19,25
P004,2026-08-29,12,25
P004,2026-08-30,5,25
P004,2026-08-31,2,25
P004,2026-09-01,0,25
P004,2026-09-02,0,25
P004,2026-09-03,0,25
P004,2026-09-04,70,25
P004,2026-09-05,112,25
P004,2026-09-06,107,25
P005,2026-08-08,48,20
P005,2026-08-09,42,20
P005,2026-08-10,36,20
P005,2026-08-11,35,20
P005,2026-08-12,80,20
P005,2026-08-13,78,20
P005,2026-08-14,71,20
P005,2026-08-15,68,20
P005,2026-08-16,67,20
P005,2026-08-17,64,20
P005,2026-08-18,60,20
P005,2026-08-19,56,20
P005,2026-08-20,55,20
P005,2026-08-21,54,20
P005,2026-08-22,49,20
P005,2026-08-23,45,20
P005,2026-08-24,41,20
P005,2026-08-25,38,20
P005,2026-08-26,36,20
P005,2026-08-27,31,20
P005,2026-08-28,29,20
P005,2026-08-29,27,20
P005,2026-08-30,23,20
P005,2026-08-31,22,20
